Genero;Ciudad;Orientacion;Item1;Item2;Item3;Item4;Item5;Item6;Item7;Item8;Item9;Item10;Item11;Item12;Item13;Item14;Item15;Item16;Item17;Item18;Item19;Item20;Item21;Item22;Item23
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
Masculino;Ushuaia;Informatica ;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0
Masculino;Ushuaia;Informatica ;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1
Femenino;Ushuaia;Informatica ;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Femenino;Ushuaia;Informatica ;1;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;1;1;1;1;0;1
Femenino;Ushuaia;Informatica ;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1
Masculino;Ushuaia;Informatica ;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0
Femenino;Ushuaia;Informatica ;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1
Masculino;Ushuaia;Informatica ;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1
Masculino;Ushuaia;Informatica ;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0
Masculino;Ushuaia;Informatica ;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1
Femenino;Ushuaia;Construcciones;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1
Femenino;Ushuaia;Construcciones;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1
Femenino;Ushuaia;Construcciones;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1
Femenino;Ushuaia;Construcciones;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1
Femenino;Ushuaia;Construcciones;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;0
Masculino;Ushuaia;Construcciones;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1
Femenino;Ushuaia;Construcciones;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0
Femenino;Ushuaia;Construcciones;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1
Femenino;Ushuaia;Construcciones;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;1
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1
Masculino;Ushuaia;Construcciones;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;1;0
Masculino;Ushuaia;Construcciones;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0
Femenino;Ushuaia;Construcciones;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1
Femenino;Ushuaia;Construcciones;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0
Femenino;Ushuaia;Construcciones;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0
Femenino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1
Femenino;Ushuaia;Construcciones;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0
Masculino;Ushuaia;Construcciones;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0
Masculino;Ushuaia;Construcciones;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1
Masculino;Ushuaia;Construcciones;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0;1;0;1
Femenino;Ushuaia;Construcciones;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;1
Masculino;Ushuaia;Informatica ;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;0;1
Masculino;Ushuaia;Informatica ;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1
Masculino;Ushuaia;Informatica ;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1
Masculino;Ushuaia;Informatica ;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1
Masculino;Ushuaia;Informatica ;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0
Masculino;Ushuaia;Informatica ;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0
Femenino;Ushuaia;Informatica ;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1
Femenino;Ushuaia;Informatica ;0;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1
Femenino;Ushuaia;Informatica ;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0
Masculino;Ushuaia;Informatica ;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;1;1;1
Femenino;Ushuaia;Informatica ;0;0;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;0
Masculino;Ushuaia;Informatica ;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
Femenino;Ushuaia;Informatica ;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
Masculino;Ushuaia;Informatica ;0;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1
Femenino;Ushuaia;Informatica ;0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1
Femenino;Ushuaia;Informatica ;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0
Masculino;Ushuaia;Informatica ;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;0
Masculino;Ushuaia;Informatica ;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0
Masculino;Ushuaia;Informatica ;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0
Masculino;Ushuaia;Electronica ;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0
Femenino;Ushuaia;Informatica ;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0
Masculino;Ushuaia;Informatica ;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0
Femenino;Ushuaia;Informatica ;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0
Masculino;Ushuaia;Informatica ;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1
Femenino;Ushuaia;Informatica ;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
Femenino;Ushuaia;Informatica ;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1
Masculino;Ushuaia;Informatica ;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1
Femenino;Ushuaia;Informatica ;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Femenino;Ushuaia;Informatica ;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0
Masculino;Ushuaia;Informatica ;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1
Masculino;Ushuaia;Informatica ;1;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;0
Masculino;Ushuaia;ArtesVisuales ;0;0;1;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1
Femenino;Ushuaia;ArtesVisuales ;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0
Femenino;Ushuaia;ArtesVisuales ;1;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0
Masculino;Ushuaia;ArtesVisuales ;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0
Femenino;Ushuaia;ArtesVisuales ;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0
Masculino;Ushuaia;ArtesVisuales ;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1;0;1;1;1;1;0
Femenino;Ushuaia;ArteMusica ;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;1;1
Femenino;Ushuaia;AgroyAmbiente;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;1;1;1
Femenino;Ushuaia;ArteMusica ;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0
Femenino;Ushuaia;ArteMusica ;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0
Femenino;Ushuaia;ArteMusica ;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Femenino;Ushuaia;ArteMusica ;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0
Masculino;Ushuaia;ArteMusica ;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0
Femenino;Ushuaia;ArteMusica ;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0
Masculino;Ushuaia;Comunicacion;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0
Masculino;Ushuaia;Comunicacion;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0
Femenino;Ushuaia;Comunicacion;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0
Femenino;Ushuaia;Comunicacion;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0
Masculino;Ushuaia;Turismo;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0
Femenino;Ushuaia;Turismo;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0
Femenino;Ushuaia;Turismo;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0
Masculino;Ushuaia;Turismo;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1
Masculino;Ushuaia;CienciasNaturales;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1
Masculino;Ushuaia;CienciasSociales;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1
Masculino;Ushuaia;CienciasNaturales;0;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0
Femenino;Ushuaia;CienciasNaturales;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1
Femenino;Ushuaia;EconomiayAdministracion;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0
Femenino;Ushuaia;EconomiayAdministracion;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1
Masculino;Ushuaia;EconomiayAdministracion;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;0;1;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0
Masculino;Ushuaia;CienciasSociales;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0
Masculino;Ushuaia;CienciasSociales;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;EconomiayAdministracion;0;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0
Masculino;Ushuaia;EconomiayAdministracion;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1
Femenino;Ushuaia;CienciasNaturales;1;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0
Femenino;Ushuaia;CienciasSociales;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0
Femenino;Ushuaia;CienciasSociales;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1
Masculino;Ushuaia;CienciasSociales;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0
Masculino;Ushuaia;EducacionFi­sica;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0
No Binario;Ushuaia;Turismo;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;0
Femenino;Ushuaia;Turismo;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1
Masculino;Ushuaia;ArtesVisuales ;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0
Femenino;Ushuaia;Turismo;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1
Femenino;Ushuaia;Turismo;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;1;0
